year,era,round,race_name,team,driver,teammate,pair,lap_number,lap_time_s,compound,tyre_life,stint,position
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,48.0,94.199,HARD,7.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,49.0,94.571,HARD,8.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,50.0,94.677,HARD,9.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,51.0,94.916,HARD,10.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,52.0,94.862,HARD,11.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,53.0,95.249,HARD,12.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,54.0,95.745,HARD,13.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,55.0,95.066,HARD,14.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,56.0,95.014,HARD,15.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,ALO,STR,ALO-STR,57.0,95.276,HARD,16.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,2.0,97.987,SOFT,2.0,1.0,19.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,3.0,98.279,SOFT,3.0,1.0,19.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,4.0,98.364,SOFT,4.0,1.0,19.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,5.0,98.725,SOFT,5.0,1.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,6.0,98.925,SOFT,6.0,1.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,7.0,98.769,SOFT,7.0,1.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,8.0,98.857,SOFT,8.0,1.0,18.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,11.0,96.494,HARD,2.0,2.0,17.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,12.0,97.175,HARD,3.0,2.0,16.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,13.0,97.289,HARD,4.0,2.0,14.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,14.0,97.624,HARD,5.0,2.0,13.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,15.0,97.533,HARD,6.0,2.0,12.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,16.0,98.027,HARD,7.0,2.0,11.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,17.0,98.777,HARD,8.0,2.0,12.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,18.0,97.417,HARD,9.0,2.0,12.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,19.0,97.554,HARD,10.0,2.0,12.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,20.0,97.859,HARD,11.0,2.0,12.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,21.0,98.022,HARD,12.0,2.0,12.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,22.0,98.175,HARD,13.0,2.0,12.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,23.0,97.826,HARD,14.0,2.0,12.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,24.0,98.138,HARD,15.0,2.0,12.0
