driver,race,stint,compound,stint_length,avg_lap_time
COL,Mexico City Grand Prix,2.0,MEDIUM,23.0,81.36977272727273
COL,Singapore Grand Prix,1.0,MEDIUM,28.0,99.15662962962962
COL,Singapore Grand Prix,2.0,HARD,32.0,98.1936129032258
COL,São Paulo Grand Prix,1.0,INTERMEDIATE,25.0,85.79770833333333
COL,United States Grand Prix,1.0,HARD,38.0,101.25370588235295
COL,United States Grand Prix,2.0,MEDIUM,17.0,98.326875
DEV,Australian Grand Prix,1.0,HARD,6.0,84.82133333333333
DEV,Australian Grand Prix,2.0,MEDIUM,36.0,84.58687878787879
DEV,Australian Grand Prix,3.0,SOFT,7.0,81.42133333333334
DEV,Austrian Grand Prix,2.0,MEDIUM,11.0,72.12725
DEV,Austrian Grand Prix,3.0,HARD,24.0,71.41995238095238
